profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,10,69,200,0.000417,0.003262,0.014254,0.014285
X25519MLKEM768,10,70,200,0.000166,0.002954,0.013966,0.013982
X25519MLKEM768,10,71,200,0.000196,0.002670,0.013611,0.013630
X25519MLKEM768,10,72,200,0.000178,0.003350,0.014428,0.014447
X25519MLKEM768,10,73,200,0.000206,0.002740,0.013709,0.013728
X25519MLKEM768,10,74,200,0.000157,0.002638,0.013523,0.013538
X25519MLKEM768,10,75,200,0.000154,0.003039,0.013907,0.013927
X25519MLKEM768,10,76,200,0.000133,0.002659,0.013667,0.013682
X25519MLKEM768,10,77,200,0.000274,0.003172,0.014276,0.014306
X25519MLKEM768,10,78,200,0.000203,0.002813,0.013900,0.013939
X25519MLKEM768,10,79,200,0.000137,0.002556,0.013372,0.013390
X25519MLKEM768,10,80,200,0.000176,0.003200,0.014035,0.014053
X25519MLKEM768,10,81,200,0.000143,0.002666,0.013681,0.013711
X25519MLKEM768,10,82,200,0.000146,0.002628,0.013621,0.013641
X25519MLKEM768,10,83,200,0.000222,0.002744,0.013627,0.013657
X25519MLKEM768,10,84,200,0.000176,0.002770,0.013792,0.013821
X25519MLKEM768,10,85,200,0.000231,0.002768,0.013832,0.013863
X25519MLKEM768,10,86,200,0.000192,0.002679,0.013836,0.013856
X25519MLKEM768,10,87,200,0.000201,0.002905,0.013897,0.013915
X25519MLKEM768,10,88,200,0.000172,0.002592,0.013716,0.013737
X25519MLKEM768,10,89,200,0.000167,0.002624,0.013475,0.013490
X25519MLKEM768,10,90,200,0.000140,0.002554,0.013449,0.013466
X25519MLKEM768,10,91,200,0.000193,0.002965,0.013978,0.013993
X25519MLKEM768,10,92,200,0.000240,0.003149,0.014043,0.014074
X25519MLKEM768,10,93,200,0.000172,0.002643,0.013844,0.013865
X25519MLKEM768,10,94,200,0.000208,0.003116,0.014147,0.014165
X25519MLKEM768,10,95,200,0.000205,0.003250,0.014198,0.014218
X25519MLKEM768,10,96,200,0.000194,0.002826,0.013824,0.013856
X25519MLKEM768,10,97,200,0.000221,0.002795,0.013647,0.013664
X25519MLKEM768,10,98,200,0.000173,0.002789,0.014120,0.014155
X25519MLKEM768,10,99,200,0.000181,0.002586,0.013540,0.013562
X25519MLKEM768,10,100,200,0.000163,0.002639,0.013457,0.013473
X25519MLKEM768,10,101,200,0.000162,0.002630,0.013410,0.013430
X25519MLKEM768,10,102,200,0.000209,0.003068,0.014112,0.014127
X25519MLKEM768,10,103,200,0.000136,0.002916,0.014032,0.014046
X25519MLKEM768,10,104,200,0.000157,0.002637,0.013503,0.013533
X25519MLKEM768,10,105,200,0.000189,0.002624,0.013956,0.013997
X25519MLKEM768,10,106,200,0.000162,0.002646,0.013791,0.013863
X25519MLKEM768,10,107,200,0.000156,0.002700,0.013816,0.013835
X25519MLKEM768,10,108,200,0.000164,0.002741,0.013818,0.013849
X25519MLKEM768,10,109,200,0.000191,0.002648,0.013683,0.013711
X25519MLKEM768,10,110,200,0.000219,0.003049,0.014291,0.014321
X25519MLKEM768,10,111,200,0.000154,0.002647,0.013662,0.013679
X25519MLKEM768,10,112,200,0.000145,0.003170,0.014209,0.014239
X25519MLKEM768,10,113,200,0.000142,0.002799,0.013818,0.013846
X25519MLKEM768,10,114,200,0.000138,0.002681,0.013678,0.013707
X25519MLKEM768,10,115,200,0.000139,0.002921,0.014271,0.014299
X25519MLKEM768,10,116,200,0.000130,0.002576,0.013522,0.013549
X25519MLKEM768,10,117,200,0.000241,0.002704,0.013612,0.013641
X25519MLKEM768,10,118,200,0.000168,0.002666,0.013803,0.013822
X25519MLKEM768,10,119,200,0.000135,0.003219,0.014178,0.014205
X25519MLKEM768,10,120,200,0.000134,0.003109,0.013963,0.013978
X25519MLKEM768,10,121,200,0.000138,0.002578,0.013495,0.013527
X25519MLKEM768,10,122,200,0.000159,0.002751,0.013729,0.013756
X25519MLKEM768,10,123,200,0.000135,0.003242,0.014121,0.014136
X25519MLKEM768,10,124,200,0.000182,0.003192,0.014124,0.014138
X25519MLKEM768,10,125,200,0.000184,0.002738,0.013737,0.013763
X25519MLKEM768,10,126,200,0.000219,0.002731,0.013625,0.013643
X25519MLKEM768,10,127,200,0.000208,0.002729,0.013601,0.013619
X25519MLKEM768,10,128,200,0.000202,0.002775,0.013828,0.013855
X25519MLKEM768,10,129,200,0.000182,0.002675,0.013503,0.013530
X25519MLKEM768,10,130,200,0.000127,0.002645,0.013752,0.013780
X25519MLKEM768,10,131,200,0.000185,0.002992,0.014183,0.014211
X25519MLKEM768,10,132,200,0.000189,0.002667,0.013940,0.013968
X25519MLKEM768,10,133,200,0.000180,0.002632,0.013567,0.013586
X25519MLKEM768,10,134,200,0.000141,0.002734,0.013603,0.013622
